epoch_number,discriminator_loss,generator_loss
1,0.476,27.530
2,0.434,26.135
3,0.426,25.768
4,0.414,25.387
5,0.417,25.129
6,0.415,24.695
7,0.429,24.160
8,0.430,23.591
9,0.429,22.911
10,0.430,22.306
11,0.432,21.619
12,0.433,21.057
13,0.435,20.665
14,0.440,20.274
15,0.445,19.982
16,0.447,19.610
17,0.446,19.255
18,0.453,18.908
19,0.460,18.516
20,0.461,18.132
